,id
0,G130962620096097191221
1,G130626209038111709014
2,G130956256200971109700632
3,G13096262000910925600936
4,G13062620038038138009139
5,G1306262090380593901217
6,G138062620900908615600456
7,G1380626200080711001059
8,L130062862007090909560915906
9,L130562562009810620006566
10,L138062620907121700935
11,G13056256200709398139004098
12,G13806262090710138156987
13,G13095625620097101726356
14,G13095626200711139765639
15,G130956256200970962612138
16,G13806262003803010010
17,G13062620908022500912
18,G13909562562009710244098138
19,G19305625620071225608709
20,G1380626209070138056983898
21,G1306256200380592529865
22,G13095625620097093909200438
23,G13806262007039125638391
24,G130626209038010106017
25,G139095626200938011840906
26,G139062562009800900926109
27,G1300625620070909260013
28,G1306562562009709709512198
