,id
0,G13096262009607191221
1,G130626209038111709014
2,G13095625620097110700632
3,G130962620091025600936
4,G130626200803818009139
5,G1306262090380593901217
6,G138062620900908615600456
7,G1380626200080711001059
8,L130062862007090909560915906
9,L130562562009810620006566
10,L138062620907121700935
11,G130562562007093981300409
12,G13806262090710138156987
13,G13095625620097101726356
14,G1309626200711139765639
15,G130956256200970962612138
16,G13806262003803010010
17,G1306262090802250012
18,G1306256200971024409138
19,G1305625620071225608709
20,G138062620070138056983898
21,G1306256200380592529865
22,G130962562009709390200438
23,G1380626200709125638391
24,G13062620903801010017
25,G13906262009801184906
26,G139062620080090926109
27,G130062562007009260013
28,G13065625620070970512198
